Code_ISIN,Symbole,Nom_Societe,Quantite,Prix
FR0010821017,SU.PA,SCHNEIDER_ELECTRIQUE,239931,96.08
FR0010208488,ENGI.PA,ENGIE,1782645,15.92
FR0010307819,LR.PA,LEGRAND_SA,142744,73.64
FR0000121220,SW.PA,SODEXO,41786,98.42
FR0000121329,HO.PA,THALES,77019,95.44
FR0000120503,EN.PA,BOUYGUES,46911,37.74
FR0000051732,ATO.PA,ATOS,72170,84.50
FR0000120693,RI.PA,PERNOD_RICARD,61164,160.55
FR0000127771,VIV.PA,VIVENDI,463957,25.60
FR0000125486,DG.PA,VINCI,157062,142.48
FR0000120644,BN.PA,DANONE,169045,73.30
FR0000120321,OR.PA,L_OREAL,63800,271.80
FR0000120271,FP.PA,TOTAL,1060005,45.22
FR0000120578,SAN.PA,SANOFI,415255,93.35
FR0000045072,ACA.PA,CREDIT_AGRICOLE_SA,1464671,13.58
FR0000120073,AI.PA,AIR_LIQUIDE,244427,138.85
NL0000235190,AIR.PA,Airbus_SE,216987,137.02
FR0000121014,MC.PA,LVMH_LOUIS_VUITTON_MOET_HENNESSY,100715,415.40
FR0000125338,CAP.PA,CAPGEMINI,124627,116.55
FR0000131104,BNP.PA,BNP_PARIBAS,867544,53.18
FR0000120404,AC.PA,ACCOR,152124,38.53
FR0000125007,SGO.PA,COMPAGNIE_DE_SAINT-GOBAIN,109420,35.87
FR0000133308,ORA.PA,ORANGE,1539026,12.85
FR0000120172,CA.PA,CARREFOUR,384365,15.77
FR0000130809,GLE.PA,SOCIETE_GENERALE,937292,31.06
FR0000121485,KER.PA,KERING,117852,576.40
FR0000121501,UG.PA,PEUGEOT_S.A,874056,19.68
FR0000121261,ML.PA,MICHELIN,159029,108.05
LU1598757687,MT.PA,Arcelor-Mittal,2318215,16.48
FR0000120628,CS.PA,AXA,1563480,25.35
FR0000130577,PUB.PA,Publicis,302460,40.88
FR0000131906,RNO.PA,Renault,968866,34.06
FR0000073272_,SAF.PA,Safran,195354,148.20
FR0000073272_,SAF.PA,Safran,195354,148.20
